Keyword,Currency,Avg. monthly searches,Cambio en los últimos tres meses,Cambio interanual,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023
royal canin yorkshire,COP,500,0%,900%,Alto,100,344.37,3995.65,,,,,,,,,,,,,,,,,
juguetes para perros,COP,5000,0%,0%,Alto,95,147.63,1621.06,,,,,,,,,,,,,,,,,
pomerania,COP,50000,0%,0%,Bajo,1,207.28,384.49,,,,,,,,,,,,,,,,,
comida japonesa,COP,5000,0%,0%,Bajo,1,364.45,1240.92,,,,,,,,,,,,,,,,,
ropa para perros,COP,5000,0%,0%,Alto,99,143.29,1545.06,,,,,,,,,,,,,,,,,
fortiflora perros,COP,5000,0%,0%,Alto,93,422.60,2753.28,,,,,,,,,,,,,,,,,
viandas saludables,COP,50,0%,0%,Bajo,6,,,,,,,,,,,,,,,,,,,
royal canin cachorro,COP,500,0%,0%,Alto,100,272.61,3823.18,,,,,,,,,,,,,,,,,
transportin perro,COP,50,0%,0%,Alto,99,294.66,2105.99,,,,,,,,,,,,,,,,,
zd hills,COP,50,0%,0%,Alto,100,659.24,2038.80,,,,,,,,,,,,,,,,,
caseta perro,COP,50,0%,0%,Alto,100,,,,,,,,,,,,,,,,,,,
dalmata,COP,50000,0%,0%,Bajo,1,204.25,741.82,,,,,,,,,,,,,,,,,
casa para perros,COP,5000,0%,0%,Alto,100,89.28,814.98,,,,,,,,,,,,,,,,,
taste of the wild perros,COP,5000,0%,0%,Alto,100,303.16,2443.05,,,,,,,,,,,,,,,,,
comida vegetariana,COP,5000,0%,0%,Bajo,4,190.66,1900.15,,,,,,,,,,,,,,,,,
comida rápida,COP,50000,0%,0%,Bajo,5,891.91,2287.94,,,,,,,,,,,,,,,,,
pienso criadores,COP,50,0%,∞,Alto,100,,,,,,,,,,,,,,,,,,,
venta de perros,COP,5000,0%,0%,Medio,40,216.68,578.57,,,,,,,,,,,,,,,,,
menu semanal saludable,COP,500,0%,0%,Bajo,5,193.89,2210.38,,,,,,,,,,,,,,,,,
razas de perros pequeños,COP,50000,0%,0%,Bajo,1,165.27,357.49,,,,,,,,,,,,,,,,,
vet life renal,COP,5000,0%,900%,Alto,100,368.72,3141.07,,,,,,,,,,,,,,,,,
probioticos para perros,COP,5000,0%,0%,Alto,100,260.17,3395.87,,,,,,,,,,,,,,,,,
hills ad,COP,500,0%,0%,Alto,87,310.23,3778.40,,,,,,,,,,,,,,,,,
comidas economicas,COP,500,0%,0%,Bajo,4,165.76,1085.80,,,,,,,,,,,,,,,,,
vitaminas para perros,COP,5000,0%,0%,Alto,100,352.85,1436.38,,,,,,,,,,,,,,,,,
ensaladas saludables,COP,5000,0%,0%,Bajo,2,193.89,940.37,,,,,,,,,,,,,,,,,
pedigree adulto,COP,500,0%,0%,Alto,94,313.61,2531.73,,,,,,,,,,,,,,,,,
pro plan cachorro,COP,5000,0%,0%,Alto,100,453.13,1871.97,,,,,,,,,,,,,,,,,
mejor pienso para perros,COP,50,0%,0%,Medio,51,,,,,,,,,,,,,,,,,,,
ensaladas,COP,50000,0%,0%,Bajo,2,193.89,1604.21,,,,,,,,,,,,,,,,,
puerta para perros,COP,500,0%,0%,Alto,100,86.74,529.93,,,,,,,,,,,,,,,,,
pomerania precio,COP,5000,0%,0%,Bajo,18,186.18,329.29,,,,,,,,,,,,,,,,,
casa para perro grande,COP,500,0%,0%,Alto,100,116.34,888.39,,,,,,,,,,,,,,,,,
proplan cachorro,COP,5000,0%,0%,Alto,100,453.13,1871.97,,,,,,,,,,,,,,,,,
camas perros,COP,5000,0%,0%,Alto,100,232.67,2197.66,,,,,,,,,,,,,,,,,
alimentos saludables,COP,50000,-90%,0%,Bajo,6,215.04,882.19,,,,,,,,,,,,,,,,,
casa de perro,COP,5000,0%,0%,Alto,100,104.76,988.86,,,,,,,,,,,,,,,,,
seresto bayer,COP,50,0%,0%,Alto,78,221.76,2381.44,,,,,,,,,,,,,,,,,
venta de perros cerca de mi,COP,50,0%,0%,Bajo,31,219.56,776.84,,,,,,,,,,,,,,,,,
nexgard perros,COP,5000,0%,0%,Bajo,23,313.25,1410.20,,,,,,,,,,,,,,,,,
correas para perros,COP,5000,0%,0%,Alto,100,167.99,1745.04,,,,,,,,,,,,,,,,,
comederos para perros,COP,5000,0%,0%,Alto,100,116.34,1270.30,,,,,,,,,,,,,,,,,
accesorios para perros,COP,5000,0%,0%,Alto,99,215.51,1139.42,,,,,,,,,,,,,,,,,
proplan sensitive skin,COP,500,0%,0%,Alto,100,486.53,1671.78,,,,,,,,,,,,,,,,,
comidas faciles,COP,5000,-90%,-90%,Bajo,4,155.11,271.45,,,,,,,,,,,,,,,,,
comidas para llevar,COP,500,0%,0%,Bajo,5,853.13,2404.28,,,,,,,,,,,,,,,,,
purina one perros,COP,500,0%,0%,Alto,98,602.93,72527.61,,,,,,,,,,,,,,,,,
adiestrador de perros,COP,500,0%,0%,Bajo,25,313.25,1013.79,,,,,,,,,,,,,,,,,
masa para pizza,COP,5000,0%,0%,Bajo,18,132.46,193.89,,,,,,,,,,,,,,,,,
caseta perro grande,COP,50,0%,0%,Alto,100,,,,,,,,,,,,,,,,,,,
cuidadores de perros,COP,500,0%,0%,Bajo,11,280.26,576.96,,,,,,,,,,,,,,,,,
dentastix pedigree,COP,500,0%,900%,Alto,95,195.33,3154.46,,,,,,,,,,,,,,,,,
laika chile,COP,500,0%,0%,Bajo,5,2970.08,12027.30,,,,,,,,,,,,,,,,,
pro plan adulto,COP,500,0%,0%,Alto,100,523.21,2371.22,,,,,,,,,,,,,,,,,
entrenamiento para perros,COP,500,0%,0%,Medio,63,288.35,840.98,,,,,,,,,,,,,,,,,
simparica precio,COP,500,0%,0%,Bajo,17,222.67,1399.94,,,,,,,,,,,,,,,,,
golden retriever precio,COP,5000,0%,0%,Bajo,32,150.72,350.96,,,,,,,,,,,,,,,,,
shampoo para perros,COP,5000,0%,0%,Alto,99,306.75,3734.70,,,,,,,,,,,,,,,,,
simparica perros,COP,500,0%,0%,Bajo,20,289.57,1898.13,,,,,,,,,,,,,,,,,
pedigree senior,COP,50,0%,0%,Alto,70,571.90,3376.81,,,,,,,,,,,,,,,,,
menus semanales,COP,50,0%,0%,Bajo,5,,,,,,,,,,,,,,,,,,,
pedigree cachorro,COP,5000,0%,0%,Alto,97,333.35,4199.13,,,,,,,,,,,,,,,,,
rampa para perros,COP,500,0%,900%,Alto,100,116.34,1396.03,,,,,,,,,,,,,,,,,
zapatos para perros,COP,5000,0%,0%,Alto,100,116.34,1703.01,,,,,,,,,,,,,,,,,
perros en venta,COP,500,0%,0%,Medio,36,205.64,562.96,,,,,,,,,,,,,,,,,
royal canin adulto,COP,500,0%,0%,Alto,100,289.72,1938.93,,,,,,,,,,,,,,,,,
shih tzu precio,COP,5000,0%,0%,Bajo,12,158.72,392.11,,,,,,,,,,,,,,,,,
escalera para perros,COP,5000,0%,0%,Alto,100,155.11,1706.26,,,,,,,,,,,,,,,,,
proplan perros,COP,5000,0%,0%,Alto,100,409.15,1265.48,,,,,,,,,,,,,,,,,
comidas rapidas y economicas,COP,500,0%,0%,Bajo,3,155.11,590.58,,,,,,,,,,,,,,,,,
bulldog ingles,COP,50000,0%,0%,Bajo,1,215.07,611.48,,,,,,,,,,,,,,,,,
kong perros,COP,500,0%,0%,Alto,100,137.03,1217.15,,,,,,,,,,,,,,,,,
dieta keto menú semanal,COP,500,-90%,0%,Bajo,7,155.11,814.35,,,,,,,,,,,,,,,,,
caniche toy,COP,5000,0%,0%,Bajo,2,236.53,519.91,,,,,,,,,,,,,,,,,
nexgard precio,COP,5000,0%,0%,Bajo,25,229.45,1377.44,,,,,,,,,,,,,,,,,
credelio perros,COP,5000,0%,0%,Bajo,28,191.04,1195.61,,,,,,,,,,,,,,,,,
masa de pizza,COP,5000,0%,0%,Bajo,11,155.11,185.15,,,,,,,,,,,,,,,,,
camas de perros,COP,5000,0%,0%,Alto,100,155.11,1858.80,,,,,,,,,,,,,,,,,
dog chow senior,COP,500,0%,0%,Alto,100,504.12,3864.81,,,,,,,,,,,,,,,,,
adaptil perros,COP,500,0%,0%,Alto,100,344.96,2243.39,,,,,,,,,,,,,,,,,
proplan ha,COP,500,900%,900%,Alto,100,478.09,2303.90,,,,,,,,,,,,,,,,,
mejor comida para perros,COP,500,0%,0%,Alto,95,284.64,1434.81,,,,,,,,,,,,,,,,,
residencia canina,COP,50,0%,0%,Bajo,26,365.80,868.82,,,,,,,,,,,,,,,,,
transportin perro grande,COP,50,0%,0%,Alto,100,,,,,,,,,,,,,,,,,,,
simparica para perros,COP,500,0%,0%,Bajo,24,341.19,1792.04,,,,,,,,,,,,,,,,,
cena saludable,COP,50000,-90%,-90%,Bajo,3,155.11,698.02,,,,,,,,,,,,,,,,,
royal canin bulldog frances,COP,500,0%,0%,Alto,100,268.48,1798.17,,,,,,,,,,,,,,,,,
razas de perros medianos,COP,5000,0%,0%,Bajo,1,208.73,1207.83,,,,,,,,,,,,,,,,,
empanadas argentinas,COP,5000,0%,0%,Bajo,3,426.57,1745.04,,,,,,,,,,,,,,,,,
hepatosil,COP,50,0%,0%,Bajo,13,,,,,,,,,,,,,,,,,,,
hamburguesas caseras,COP,5000,0%,0%,Bajo,2,,,,,,,,,,,,,,,,,,,
comidas rapidas y baratas,COP,500,0%,900%,Bajo,6,160.13,1202.14,,,,,,,,,,,,,,,,,
royal canin perros,COP,500,900%,900%,Alto,100,261.74,1096.47,,,,,,,,,,,,,,,,,
entrenamiento canino,COP,500,0%,0%,Bajo,30,332.17,1259.20,,,,,,,,,,,,,,,,,
bebederos para perros,COP,5000,900%,900%,Alto,100,92.16,1330.82,,,,,,,,,,,,,,,,,
nexgard spectra 15 30 kg,COP,5000,0%,900%,Bajo,22,292.45,1934.73,,,,,,,,,,,,,,,,,
nexgard spectra 30 60 kg,COP,500,0%,0%,Bajo,16,266.24,1440.17,,,,,,,,,,,,,,,,,
comida 24 horas,COP,5000,0%,0%,Bajo,11,542.90,2365.50,,,,,,,,,,,,,,,,,
comida sana,COP,5000,0%,0%,Bajo,9,155.11,853.13,,,,,,,,,,,,,,,,,
vet life obesity,COP,500,0%,0%,Alto,100,445.48,2885.85,,,,,,,,,,,,,,,,,
hills perros,COP,5000,0%,0%,Alto,100,239.80,1626.52,,,,,,,,,,,,,,,,,
almuerzo saludable,COP,5000,0%,0%,Bajo,8,137.23,504.12,,,,,,,,,,,,,,,,,
comida coreana,COP,5000,0%,0%,Bajo,2,168.96,3594.52,,,,,,,,,,,,,,,,,
perritos,COP,50000,0%,0%,Bajo,4,271.84,1406.49,,,,,,,,,,,,,,,,,
hotel canino,COP,500,0%,0%,Bajo,18,318.92,1013.99,,,,,,,,,,,,,,,,,
peluqueria canina cerca de mi,COP,500,0%,900%,Bajo,7,368.57,936.86,,,,,,,,,,,,,,,,,
arnes antitirones,COP,500,0%,0%,Alto,100,251.22,2094.05,,,,,,,,,,,,,,,,,
hotel de perros,COP,50,0%,0%,Bajo,22,291.50,1399.95,,,,,,,,,,,,,,,,,
alimento perro,COP,500,0%,0%,Alto,100,404.59,2532.04,,,,,,,,,,,,,,,,,
pipetas para perros,COP,500,0%,0%,Alto,87,331.51,3592.74,,,,,,,,,,,,,,,,,
tacos a domicilio,COP,50,0%,0%,Medio,66,620.46,2714.51,,,,,,,,,,,,,,,,,
perro labrador,COP,5000,0%,-90%,Bajo,1,225.50,853.13,,,,,,,,,,,,,,,,,
comida peruana,COP,5000,0%,0%,Bajo,1,257.90,1297.68,,,,,,,,,,,,,,,,,
comprar perros,COP,500,0%,0%,Medio,48,223.23,612.44,,,,,,,,,,,,,,,,,
jaula para perros grandes,COP,500,0%,0%,Alto,100,136.32,1357.25,,,,,,,,,,,,,,,,,
comidas veganas,COP,500,0%,0%,Bajo,3,155.11,310.23,,,,,,,,,,,,,,,,,
schnauzer miniatura,COP,50000,0%,0%,Bajo,2,235.41,901.99,,,,,,,,,,,,,,,,,
perros pequeños en adopcion,COP,500,0%,0%,Bajo,14,215.32,511.64,,,,,,,,,,,,,,,,,
simparica 20 a 40,COP,50,0%,0%,Bajo,26,,,,,,,,,,,,,,,,,,,
almuerzo facil y rapido,COP,5000,0%,0%,Bajo,13,141.25,1870.01,,,,,,,,,,,,,,,,,
dog chow razas pequeñas,COP,500,0%,0%,Alto,100,349.01,1833.07,,,,,,,,,,,,,,,,,
simparica 5 a 10 kg,COP,50,0%,0%,Bajo,18,258.89,2443.05,,,,,,,,,,,,,,,,,
desayuno keto,COP,5000,0%,0%,Bajo,3,381.36,1279.70,,,,,,,,,,,,,,,,,
bichon maltes,COP,50000,0%,0%,Bajo,1,202.01,758.93,,,,,,,,,,,,,,,,,
mochila para perros,COP,500,0%,0%,Alto,100,116.34,1991.80,,,,,,,,,,,,,,,,,
comidas caseras,COP,5000,0%,0%,Bajo,1,155.11,848.45,,,,,,,,,,,,,,,,,
comidas sanas,COP,5000,0%,0%,Bajo,9,155.11,853.13,,,,,,,,,,,,,,,,,
bulldog frances precio,COP,5000,0%,0%,Bajo,19,141.17,463.68,,,,,,,,,,,,,,,,,
los 10 mejores alimentos para perros,COP,5000,0%,900%,Medio,66,307.38,1008.24,,,,,,,,,,,,,,,,,
comida casera para perros,COP,500,0%,0%,Bajo,20,379.94,563.54,,,,,,,,,,,,,,,,,
jaula perro,COP,500,0%,0%,Alto,100,121.07,1998.35,,,,,,,,,,,,,,,,,
comida fit,COP,5000,-90%,-90%,Bajo,4,197.94,2326.72,,,,,,,,,,,,,,,,,
proplan adulto raza pequeña,COP,500,0%,-90%,Alto,100,578.79,1210.71,,,,,,,,,,,,,,,,,
san bernardo,COP,50000,0%,0%,Bajo,1,195.58,846.55,,,,,,,,,,,,,,,,,
pizza vegana,COP,500,0%,0%,Bajo,5,545.78,1475.93,,,,,,,,,,,,,,,,,
laika mexico,COP,500,0%,0%,Bajo,5,2326.68,10427.59,,,,,,,,,,,,,,,,,
virbac perros,COP,500,0%,0%,Alto,95,289.22,2229.48,,,,,,,,,,,,,,,,,
perros y gatos,COP,5000,0%,0%,Bajo,0,560.59,1687.46,,,,,,,,,,,,,,,,,
desayunos rapidos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
nexgard spectra precio,COP,500,0%,0%,Bajo,19,192.27,1250.32,,,,,,,,,,,,,,,,,
peluqueria canina a domicilio,COP,500,0%,0%,Bajo,21,438.34,931.37,,,,,,,,,,,,,,,,,
kong para perros,COP,500,0%,0%,Alto,100,155.11,1240.92,,,,,,,,,,,,,,,,,
arnes perro pequeño,COP,50,0%,0%,Alto,100,154.42,783.85,,,,,,,,,,,,,,,,,
dog chow adulto raza pequeña,COP,5000,0%,0%,Alto,100,340.14,2159.11,,,,,,,,,,,,,,,,,
desayunos faciles y rapidos,COP,5000,0%,0%,Bajo,1,271.45,1938.93,,,,,,,,,,,,,,,,,
pizza sin gluten,COP,500,0%,0%,Bajo,14,198.02,710.11,,,,,,,,,,,,,,,,,
perros pug,COP,50000,0%,0%,Bajo,2,215.24,1373.84,,,,,,,,,,,,,,,,,
vetriderm,COP,500,0%,0%,Medio,34,310.23,3473.75,,,,,,,,,,,,,,,,,
comida para cachorros,COP,500,0%,0%,Alto,99,277.45,930.69,,,,,,,,,,,,,,,,,
cachorros en venta,COP,500,0%,0%,Medio,36,214.45,554.27,,,,,,,,,,,,,,,,,
venta de cachorros,COP,500,0%,0%,Medio,35,234.32,590.73,,,,,,,,,,,,,,,,,
camas para perros pequeños,COP,5000,900%,0%,Alto,100,131.52,1570.54,,,,,,,,,,,,,,,,,
casa de perro grande,COP,500,0%,-90%,Alto,100,116.34,2132.83,,,,,,,,,,,,,,,,,
menus saludables,COP,5000,-90%,-90%,Bajo,7,155.11,885.03,,,,,,,,,,,,,,,,,
dogchow,COP,50000,0%,0%,Alto,100,494.85,1410.54,,,,,,,,,,,,,,,,,
schnauzer mini,COP,5000,0%,0%,Bajo,2,235.92,827.61,,,,,,,,,,,,,,,,,
colchones para perros,COP,5000,0%,0%,Alto,100,197.22,1662.14,,,,,,,,,,,,,,,,,
pastor aleman,COP,50000,0%,0%,Bajo,1,201.47,484.47,,,,,,,,,,,,,,,,,
desayunos saludables para adultos,COP,5000,0%,900%,Bajo,19,155.11,791.14,,,,,,,,,,,,,,,,,
comida italiana,COP,5000,0%,0%,Bajo,3,155.11,554.21,,,,,,,,,,,,,,,,,
comprar golden retriever,COP,50,0%,0%,Medio,48,277.98,898.21,,,,,,,,,,,,,,,,,
cosas para perros,COP,500,0%,0%,Medio,55,127.12,1175.70,,,,,,,,,,,,,,,,,
bulldog francés precio,COP,5000,0%,0%,Bajo,19,141.17,463.68,,,,,,,,,,,,,,,,,
carlinos,COP,500,0%,0%,Bajo,0,,,,,,,,,,,,,,,,,,,
frontline perros,COP,500,0%,0%,Alto,95,350.77,2818.80,,,,,,,,,,,,,,,,,
mejor alimento para perros,COP,500,0%,0%,Alto,95,268.13,1357.25,,,,,,,,,,,,,,,,,
goldendoodle precio,COP,500,0%,0%,Bajo,21,220.64,601.65,,,,,,,,,,,,,,,,,
ropa perro,COP,500,0%,0%,Alto,100,164.18,1478.44,,,,,,,,,,,,,,,,,
hotel perros,COP,50,0%,-90%,Bajo,19,372.37,1287.77,,,,,,,,,,,,,,,,,
tacos mexicanos,COP,5000,0%,0%,Bajo,20,581.68,3363.07,,,,,,,,,,,,,,,,,
premios para perros,COP,500,0%,0%,Alto,97,236.99,3148.11,,,,,,,,,,,,,,,,,
shampoo en seco para perros,COP,500,0%,0%,Alto,95,391.37,5002.45,,,,,,,,,,,,,,,,,
vet life urinary,COP,500,0%,0%,Alto,95,394.96,4310.75,,,,,,,,,,,,,,,,,
dieta saludable y equilibrada,COP,500,0%,0%,Bajo,12,155.11,890.88,,,,,,,,,,,,,,,,,
juguetes interactivos para perros,COP,500,0%,0%,Alto,100,155.11,1232.66,,,,,,,,,,,,,,,,,
perros en adopción cachorros gratis,COP,50,0%,0%,Bajo,18,199.92,1822.60,,,,,,,,,,,,,,,,,
purina dog chow cachorro,COP,500,0%,0%,Alto,100,472.09,1699.17,,,,,,,,,,,,,,,,,
carne para hamburguesa,COP,5000,0%,0%,Medio,42,193.89,1632.48,,,,,,,,,,,,,,,,,
comida de dieta,COP,500,0%,0%,Bajo,3,155.11,551.49,,,,,,,,,,,,,,,,,
agility gold pequeños adultos,COP,5000,0%,0%,Alto,100,329.62,1761.56,,,,,,,,,,,,,,,,,
border collie precio,COP,5000,0%,0%,Bajo,21,181.46,389.85,,,,,,,,,,,,,,,,,
alimento de perro,COP,500,0%,0%,Alto,69,288.61,1706.26,,,,,,,,,,,,,,,,,
pizza italiana,COP,5000,0%,0%,Bajo,1,513.48,1162.55,,,,,,,,,,,,,,,,,
perros de raza pequeña en adopción gratis,COP,500,0%,-90%,Bajo,15,217.38,426.66,,,,,,,,,,,,,,,,,
milpro perros,COP,50,-90%,0%,Bajo,31,,,,,,,,,,,,,,,,,,,
perritos chiquitos,COP,5000,0%,0%,Bajo,1,169.88,489.05,,,,,,,,,,,,,,,,,
pomerania mini,COP,5000,0%,0%,Bajo,8,182.90,393.46,,,,,,,,,,,,,,,,,
comidas para navidad,COP,500,900%,0%,Bajo,1,155.11,775.57,,,,,,,,,,,,,,,,,
perros medianos,COP,5000,0%,0%,Bajo,1,177.76,465.06,,,,,,,,,,,,,,,,,
comida india,COP,5000,0%,0%,Bajo,0,468.55,2078.71,,,,,,,,,,,,,,,,,
ropa de perro,COP,500,0%,0%,Alto,95,202.70,2038.42,,,,,,,,,,,,,,,,,
purina pro plan cachorro,COP,50,900%,900%,Alto,100,471.54,3111.26,,,,,,,,,,,,,,,,,
comidas rapidas y sencillas,COP,500,0%,0%,Bajo,3,155.11,317.09,,,,,,,,,,,,,,,,,
pasto para perros,COP,500,0%,0%,Alto,100,78.04,4201.93,,,,,,,,,,,,,,,,,
disfraces para perros,COP,5000,-90%,0%,Bajo,30,118.50,1336.49,,,,,,,,,,,,,,,,,
perrera,COP,5000,0%,0%,Bajo,8,1202.14,15433.90,,,,,,,,,,,,,,,,,
comidas rapidas y saludables,COP,500,0%,0%,Bajo,6,155.11,833.51,,,,,,,,,,,,,,,,,
juguetes kong,COP,500,0%,0%,Alto,100,160.37,1240.92,,,,,,,,,,,,,,,,,
chunky adulto,COP,5000,0%,0%,Alto,100,228.76,2713.68,,,,,,,,,,,,,,,,,
casas de perros,COP,5000,0%,0%,Alto,100,104.76,988.86,,,,,,,,,,,,,,,,,
dieta equilibrada,COP,500,0%,0%,Bajo,1,271.45,718.79,,,,,,,,,,,,,,,,,
perros pomerania,COP,50000,0%,0%,Bajo,2,211.96,386.46,,,,,,,,,,,,,,,,,
criaderos de perros,COP,5000,0%,0%,Bajo,31,234.66,632.91,,,,,,,,,,,,,,,,,
churu perros,COP,500,0%,0%,Alto,97,426.67,2249.16,,,,,,,,,,,,,,,,,
caniche toy precio,COP,500,0%,900%,Bajo,24,186.65,365.73,,,,,,,,,,,,,,,,,
